Date,Depth,DissPerDepth,Radius,Diss
2018-06-16,1,"1,052,227.61",109.65,246.68
2018-06-16,2,"332,837.84",102.94,107.34
2018-06-16,3,"156,383.67",98.05,43.49
2018-06-16,4,"64,837.30",92.52,13.03
2018-06-16,5,"40,109.38",83.89,6.20
2018-06-16,6,"56,648.60",69.70,7.76
2018-06-16,7,"177,588.30",47.49,26.49
2018-06-16,8,"315,328.51",14.80,234.08
