Date,Aa,Hsml,L,R,Type,As,Kz,Chyp
2018-06-16,0.0454,1.26,120.28,120.28, R,0.0087,0.00000409,4.01
2018-09-02,0.0454,1.26,120.28,120.28, R,0.0087,0.00000409,4.01
